Incident_Number,Area_Occ,Rpt_Dist,Dispatch_Date,Dispatch_Time,Call_Type_Code,Call_Type_Text
PD21031200003050,Hollenbeck,0478,03/12/2021 12:00:00 AM,16:38:18,242DS,DOM VIOL SUSP
PD21010800004542,N Hollywood,1547,01/08/2021 12:00:00 AM,22:54:31,242DI,DOM VIOL INVESTIGATI
PD21031600003972,Harbor,0563,03/16/2021 12:00:00 AM,18:32:44,620D,DOM VIOL
PD21040300002585,Olympic,2093,04/03/2021 12:00:00 AM,15:16:36,620D,DOM VIOL
PD21021300002850,Southeast,1801,02/13/2021 12:00:00 AM,16:26:29,245DSL,DOM VIOL SUSP J/L
PD21031200000075,Southeast,1842,03/12/2021 12:00:00 AM,00:45:24,242D,DOM VIOL
PD21011200002899,77th Street,1241,01/12/2021 12:00:00 AM,16:23:16,620DR,DOM VIOL R/O
PD21030800002320,West Valley,1034,03/08/2021 12:00:00 AM,13:31:42,245DS,DOM VIOL SUSP
PD21020700003827,77th Street,1283,02/07/2021 12:00:00 AM,20:03:05,245AD,AMB DOM VIOL
PD21011500001549,Mission,1972,01/15/2021 12:00:00 AM,10:56:02,242PD,POSS DOM VIOL
PD21032700004358,Southeast,1832,03/27/2021 12:00:00 AM,22:51:43,242D,DOM VIOL
PD21041600000229,Olympic,2035,04/16/2021 12:00:00 AM,01:29:33,620D,DOM VIOL
PD21010800004607,Newton,1395,01/08/2021 12:00:00 AM,23:03:36,620D,DOM VIOL
PD21031700005706,Olympic,2088,03/17/2021 12:00:00 AM,23:40:11,242D,DOM VIOL
PD21022800002025,West LA,0824,02/28/2021 12:00:00 AM,12:11:14,620D,DOM VIOL
PD21021100003307,Olympic,2015,02/11/2021 12:00:00 AM,16:11:42,242D,DOM VIOL
PD21022100001354,77th Street,1245,02/21/2021 12:00:00 AM,09:04:18,620D,DOM VIOL
PD21030100004714,Harbor,0551,03/01/2021 12:00:00 AM,22:17:42,620D,DOM VIOL
PD21010100000875,77th Street,1258,01/01/2021 12:00:00 AM,03:17:54,620D,DOM VIOL
PD21052900002576,Mission,1969,05/29/2021 12:00:00 AM,14:52:12,242PD,POSS DOM VIOL
PD21051400000366,Southwest,0341,05/14/2021 12:00:00 AM,01:51:57,620D,DOM VIOL
PD21052700003185,Southwest,0377,05/27/2021 12:00:00 AM,15:37:32,620D,DOM VIOL
PD21032400000243,Southeast,1806,03/24/2021 12:00:00 AM,01:28:29,242D,DOM VIOL
PD21031600001488,77th Street,1203,03/16/2021 12:00:00 AM,10:01:16,620D,DOM VIOL
PD21041200003226,West Valley,1028,04/12/2021 12:00:00 AM,17:03:40,242D,DOM VIOL
PD21060600004421,Hollywood,0645,06/06/2021 12:00:00 AM,21:34:12,620D,DOM VIOL
PD21010400004541,Olympic,2049,01/04/2021 12:00:00 AM,23:23:01,620D,DOM VIOL
PD21012500003301,Hollenbeck,0459,01/25/2021 12:00:00 AM,17:43:43,242D,DOM VIOL
PD21041900002134,Pacific,1407,04/19/2021 12:00:00 AM,12:54:20,620D,DOM VIOL
PD21050600005298,West Valley,1075,05/06/2021 12:00:00 AM,23:07:44,242D,DOM VIOL
PD21010700000828,Mission,1918,01/07/2021 12:00:00 AM,07:53:56,620DR,DOM VIOL R/O
PD21012100004401,Southwest,0363,01/21/2021 12:00:00 AM,19:15:54,242D,DOM VIOL
PD21051700003199,Southeast,1839,05/17/2021 12:00:00 AM,16:22:48,242D,DOM VIOL
PD21052000004370,Wilshire,0779,05/20/2021 12:00:00 AM,19:44:42,242DS,DOM VIOL SUSP
PD21042300002454,Rampart,0201,04/23/2021 12:00:00 AM,13:55:46,242DI,DOM VIOL INVESTIGATI
PD21032100000385,77th Street,1269,03/21/2021 12:00:00 AM,01:51:54,242DS,DOM VIOL SUSP
PD21041000001820,Van Nuys,0904,04/10/2021 12:00:00 AM,12:19:16,242DS,DOM VIOL SUSP
PD21052700000053,Mission,1991,05/27/2021 12:00:00 AM,00:19:59,620D,DOM VIOL
PD21041100004629,Northeast,1147,04/11/2021 12:00:00 AM,22:00:04,242DS,DOM VIOL SUSP
PD21030600003111,Mission,1925,03/06/2021 12:00:00 AM,16:27:14,242D,DOM VIOL
PD21032600001822,Van Nuys,0952,03/26/2021 12:00:00 AM,13:02:57,245D,DOM VIOL
PD21060300002120,West Valley,1017,06/03/2021 12:00:00 AM,12:00:19,242D,DOM VIOL
PD21051300002341,Pacific,1488,05/13/2021 12:00:00 AM,12:44:29,242D,DOM VIOL
PD21040100002342,Wilshire,0782,04/01/2021 12:00:00 AM,12:59:48,620D,DOM VIOL
PD21012500001917,Newton,1352,01/25/2021 12:00:00 AM,12:13:01,620DR,DOM VIOL R/O
PD21060300002588,Harbor,0529,06/03/2021 12:00:00 AM,13:37:45,242D,DOM VIOL
PD21012300002150,Hollywood,0646,01/23/2021 12:00:00 AM,14:07:21,620D,DOM VIOL
PD21021700001347,Central,0185,02/17/2021 12:00:00 AM,09:13:35,620D,DOM VIOL
PD21040900002819,Northeast,1162,04/09/2021 12:00:00 AM,15:42:59,620D,DOM VIOL
PD21050400000165,West Valley,1008,05/04/2021 12:00:00 AM,01:14:55,242AD,AMB DOM VIOL
PD21032100003072,Newton,1331,03/21/2021 12:00:00 AM,16:23:45,245DSN,DOM VIOL SUSP NOW
PD21050700002473,N Hollywood,1519,05/07/2021 12:00:00 AM,13:56:34,620D,DOM VIOL
PD21051600004604,Devonshire,1718,05/16/2021 12:00:00 AM,22:16:57,620D,DOM VIOL
PD21021800003418,Southwest,0356,02/18/2021 12:00:00 AM,15:59:36,620D,DOM VIOL
PD21030200001702,Southeast,1823,03/02/2021 12:00:00 AM,11:34:04,620D,DOM VIOL
PD21051700002409,77th Street,1213,05/17/2021 12:00:00 AM,13:16:33,620D,DOM VIOL
PD21020500005346,Topanga,2139,02/06/2021 12:00:00 AM,00:02:06,242AD,AMB DOM VIOL
PD21042600001838,Newton,1363,04/26/2021 12:00:00 AM,11:17:23,242DR,DOM VIOL R/O VIOLATI
PD21042700000831,Harbor,0567,04/27/2021 12:00:00 AM,07:22:12,620DR,DOM VIOL R/O
PD21021400002700,Hollywood,0615,02/14/2021 12:00:00 AM,15:24:57,242AD,AMB DOM VIOL
PD21011900000406,Devonshire,1756,01/19/2021 12:00:00 AM,03:00:38,620D,DOM VIOL
PD21020300003974,Olympic,2033,02/03/2021 12:00:00 AM,17:19:07,245AD,AMB DOM VIOL
PD21041200001998,Hollenbeck,0497,04/12/2021 12:00:00 AM,11:59:21,620D,DOM VIOL
PD21040800000507,Hollywood,0645,04/08/2021 12:00:00 AM,03:46:22,242D,DOM VIOL
PD21051600004073,Olympic,2035,05/16/2021 12:00:00 AM,20:23:06,245DSN,DOM VIOL SUSP NOW
PD21040300001504,Foothill,1651,04/03/2021 12:00:00 AM,10:31:30,620DR,DOM VIOL R/O
PD21052600004802,Southwest,0311,05/26/2021 12:00:00 AM,21:59:33,242D,DOM VIOL
PD21011800003995,Mission,1962,01/18/2021 12:00:00 AM,21:18:06,620DR,DOM VIOL R/O
PD21041400004535,Topanga,2105,04/14/2021 12:00:00 AM,20:12:21,620D,DOM VIOL
PD21041800003544,Rampart,0246,04/18/2021 12:00:00 AM,18:01:00,245D,DOM VIOL
PD21040400001770,Devonshire,1751,04/04/2021 12:00:00 AM,11:33:24,245D,DOM VIOL
PD21020800003627,Mission,1993,02/08/2021 12:00:00 AM,18:38:04,242D,DOM VIOL
PD21010100002589,77th Street,1248,01/01/2021 12:00:00 AM,15:14:35,620DR,DOM VIOL R/O
PD21031200001530,Hollywood,0644,03/12/2021 12:00:00 AM,10:28:00,620D,DOM VIOL
PD21051600002340,Newton,1371,05/16/2021 12:00:00 AM,13:24:26,620D,DOM VIOL
PD21060300000815,Northeast,1147,06/03/2021 12:00:00 AM,06:40:58,242D,DOM VIOL
PD21052400002617,Newton,1391,05/24/2021 12:00:00 AM,14:19:08,245D,DOM VIOL
PD21060300004274,Mission,1913,06/03/2021 12:00:00 AM,20:27:27,620D,DOM VIOL
PD21040500002819,Central,0152,04/05/2021 12:00:00 AM,15:27:12,242D,DOM VIOL
PD21031200001124,Van Nuys,0914,03/12/2021 12:00:00 AM,08:38:03,242D,DOM VIOL
PD21051300000259,Pacific,1463,05/13/2021 12:00:00 AM,01:31:01,245D,DOM VIOL
PD21012700002080,Hollywood,0636,01/27/2021 12:00:00 AM,12:13:06,620D,DOM VIOL
PD21051100003178,Devonshire,1718,05/11/2021 12:00:00 AM,15:44:42,245DS,DOM VIOL SUSP
PD21021500001481,Rampart,0289,02/15/2021 12:00:00 AM,10:14:18,620D,DOM VIOL
PD21041000004139,Harbor,0565,04/10/2021 12:00:00 AM,21:38:30,245D,DOM VIOL
PD21052200003147,Hollenbeck,0477,05/22/2021 12:00:00 AM,16:43:14,620DR,DOM VIOL R/O
PD21022600003868,77th Street,1251,02/26/2021 12:00:00 AM,19:12:42,242D,DOM VIOL
PD21012000002553,Southwest,0356,01/20/2021 12:00:00 AM,13:53:49,242D,DOM VIOL
PD21031400000394,Foothill,1698,03/14/2021 12:00:00 AM,01:41:16,242D,DOM VIOL
PD21030800002431,Harbor,0522,03/08/2021 12:00:00 AM,13:39:43,620D,DOM VIOL
PD21011200004138,Olympic,2025,01/12/2021 12:00:00 AM,21:50:04,242D,DOM VIOL
PD21031500000103,Southeast,1801,03/15/2021 12:00:00 AM,00:26:29,242D,DOM VIOL
PD21020800001430,Olympic,2064,02/08/2021 12:00:00 AM,09:50:36,620D,DOM VIOL
PD21032600000725,Southeast,1823,03/26/2021 12:00:00 AM,07:28:21,620D,DOM VIOL
PD21052300001426,77th Street,1252,05/23/2021 12:00:00 AM,09:41:54,620D,DOM VIOL
PD21052800003678,Southwest,0393,05/28/2021 12:00:00 AM,18:07:36,620DR,DOM VIOL R/O
PD21042800000701,77th Street,1252,04/28/2021 12:00:00 AM,06:21:24,245DS,DOM VIOL SUSP
PD21050900000753,Southeast,1849,05/09/2021 12:00:00 AM,03:14:03,242DJ,DOM VIOL J/O
PD21051200000121,Central,0157,05/12/2021 12:00:00 AM,00:37:09,620DR,DOM VIOL R/O
PD21021600005621,Hollywood,0668,02/17/2021 12:00:00 AM,00:04:14,620D,DOM VIOL
PD21060100004599,West Valley,1024,06/01/2021 12:00:00 AM,21:30:19,620D,DOM VIOL
PD21012900000525,Foothill,1657,01/29/2021 12:00:00 AM,05:37:06,245DSN,DOM VIOL SUSP NOW
PD21021800004651,West Valley,1021,02/18/2021 12:00:00 AM,19:55:13,245D,DOM VIOL
PD21050600005059,Southwest,0361,05/06/2021 12:00:00 AM,22:07:07,242D,DOM VIOL
PD21022600000481,West Valley,1035,02/26/2021 12:00:00 AM,03:12:13,242D,DOM VIOL
PD21032100002895,77th Street,1266,03/21/2021 12:00:00 AM,16:11:34,620D,DOM VIOL
PD21051300000162,Southeast,1834,05/13/2021 12:00:00 AM,01:03:49,245D,DOM VIOL
PD21051300004720,Hollenbeck,0448,05/13/2021 12:00:00 AM,20:55:09,242D,DOM VIOL
PD21020900000857,West LA,0889,02/09/2021 12:00:00 AM,07:34:53,242DI,DOM VIOL INVESTIGATI
PD21031600005189,Foothill,1623,03/16/2021 12:00:00 AM,22:39:19,242D,DOM VIOL
PD21041500004697,Olympic,2017,04/15/2021 12:00:00 AM,21:27:03,620D,DOM VIOL
PD21022400004312,West Valley,1015,02/24/2021 12:00:00 AM,18:10:35,620D,DOM VIOL
PD21052300001616,Hollenbeck,0421,05/23/2021 12:00:00 AM,10:48:33,245DX,DOM VIOL IN PROGRESS
PD21033100004031,Southwest,0396,03/31/2021 12:00:00 AM,19:18:30,242D,DOM VIOL
PD21041400003417,Harbor,0563,04/14/2021 12:00:00 AM,16:35:38,620D,DOM VIOL
PD21050400000569,Hollenbeck,0466,05/04/2021 12:00:00 AM,04:51:22,242D,DOM VIOL
PD21050100002627,Southeast,1861,05/01/2021 12:00:00 AM,14:56:23,242D,DOM VIOL
PD21011900002867,Newton,1309,01/19/2021 12:00:00 AM,14:37:40,245D,DOM VIOL
PD21010200001332,Topanga,2134,01/02/2021 12:00:00 AM,10:48:02,620DR,DOM VIOL R/O
PD21050800000999,Foothill,1675,05/08/2021 12:00:00 AM,06:33:46,242D,DOM VIOL
PD21030600004417,West Valley,1008,03/06/2021 12:00:00 AM,21:07:16,620D,DOM VIOL
PD21050400003807,Hollenbeck,0455,05/04/2021 12:00:00 AM,18:13:50,620D,DOM VIOL
PD21013000003977,Topanga,2158,01/30/2021 12:00:00 AM,20:29:24,620D,DOM VIOL
PD21032400004064,Foothill,1651,03/24/2021 12:00:00 AM,18:37:40,242D,DOM VIOL
PD21021500003934,Newton,1381,02/15/2021 12:00:00 AM,19:50:59,620D,DOM VIOL
PD21020900002245,Van Nuys,0911,02/09/2021 12:00:00 AM,12:31:11,620D,DOM VIOL
PD21051900000314,Harbor,0525,05/19/2021 12:00:00 AM,01:44:28,242D,DOM VIOL
PD21010300001481,Central,0195,01/03/2021 12:00:00 AM,11:25:23,242D,DOM VIOL
PD21022200004658,Mission,1984,02/22/2021 12:00:00 AM,21:35:27,620D,DOM VIOL
PD21041800002291,77th Street,1269,04/18/2021 12:00:00 AM,13:08:13,245D,DOM VIOL
PD21030600002826,Mission,1907,03/06/2021 12:00:00 AM,15:40:37,620D,DOM VIOL
PD21012800001786,Newton,1361,01/28/2021 12:00:00 AM,11:27:03,242D,DOM VIOL
PD21051700003669,Southeast,1832,05/17/2021 12:00:00 AM,18:11:37,620D,DOM VIOL
PD21022600004890,Mission,1987,02/26/2021 12:00:00 AM,22:23:50,620D,DOM VIOL
PD21010500002862,Central,0191,01/05/2021 12:00:00 AM,15:29:59,620D,DOM VIOL
PD21050300002378,Devonshire,1785,05/03/2021 12:00:00 AM,13:16:35,620D,DOM VIOL
PD21031100002356,Central,0156,03/11/2021 12:00:00 AM,14:18:33,620D,DOM VIOL
PD21050700005285,Rampart,0219,05/07/2021 12:00:00 AM,23:15:49,620D,DOM VIOL
PD21032300004951,Olympic,2088,03/23/2021 12:00:00 AM,21:45:25,242DS,DOM VIOL SUSP
PD21020900002505,West Valley,1021,02/09/2021 12:00:00 AM,13:43:18,620D,DOM VIOL
PD21011500003855,Van Nuys,0911,01/15/2021 12:00:00 AM,20:44:17,242D,DOM VIOL
PD21032700001016,Central,0174,03/27/2021 12:00:00 AM,08:12:15,242D,DOM VIOL
PD21013000004734,Wilshire,0759,01/30/2021 12:00:00 AM,22:18:01,242D,DOM VIOL
PD21041000001302,Rampart,0246,04/10/2021 12:00:00 AM,09:30:20,242DS,DOM VIOL SUSP
PD21060500002096,Hollenbeck,0489,06/05/2021 12:00:00 AM,12:53:59,620DR,DOM VIOL R/O
PD21011400002976,Foothill,1698,01/14/2021 12:00:00 AM,16:49:10,620DR,DOM VIOL R/O
PD21050900004297,Southeast,1802,05/09/2021 12:00:00 AM,22:02:12,245AD,AMB DOM VIOL
PD21040800003640,Newton,1373,04/08/2021 12:00:00 AM,18:03:22,620DR,DOM VIOL R/O
PD21020100003835,Southeast,1801,02/01/2021 12:00:00 AM,18:36:19,620D,DOM VIOL
PD21013000001203,Newton,1391,01/30/2021 12:00:00 AM,09:01:23,242D,DOM VIOL
PD21022200000687,Hollenbeck,0463,02/22/2021 12:00:00 AM,05:50:25,242D,DOM VIOL
PD21022200004606,77th Street,1266,02/22/2021 12:00:00 AM,21:24:57,620DR,DOM VIOL R/O
PD21043000002616,Southeast,1823,04/30/2021 12:00:00 AM,14:48:33,620DR,DOM VIOL R/O
PD21030700004655,Southwest,0363,03/07/2021 12:00:00 AM,21:55:07,242DS,DOM VIOL SUSP
PD21031900002519,Southeast,1804,03/19/2021 12:00:00 AM,14:32:14,242DI,DOM VIOL INVESTIGATI
PD21022400004829,Southeast,1822,02/24/2021 12:00:00 AM,19:52:23,620D,DOM VIOL
PD21020500004349,Harbor,0551,02/05/2021 12:00:00 AM,20:42:28,620D,DOM VIOL
PD21022500004628,Mission,1913,02/25/2021 12:00:00 AM,20:06:46,242D,DOM VIOL
PD21042500000078,Olympic,2001,04/25/2021 12:00:00 AM,00:19:41,245D,DOM VIOL
PD21052400005178,West LA,0849,05/24/2021 12:00:00 AM,23:35:06,620D,DOM VIOL
PD21052500004069,Mission,1959,05/25/2021 12:00:00 AM,20:24:33,620D,DOM VIOL
PD21041100005037,Olympic,2025,04/11/2021 12:00:00 AM,23:32:09,242D,DOM VIOL
PD21051400000232,Harbor,0585,05/14/2021 12:00:00 AM,01:05:48,242DX,BATTERY DOMESTIC VIO
PD21043000001208,Olympic,2029,04/30/2021 12:00:00 AM,09:18:27,620D,DOM VIOL
PD21042900003566,Devonshire,1763,04/29/2021 12:00:00 AM,17:32:31,620D,DOM VIOL
PD21052900005037,Newton,1351,05/29/2021 12:00:00 AM,23:10:43,620D,DOM VIOL
PD21022300004859,77th Street,1204,02/23/2021 12:00:00 AM,20:43:33,620DR,DOM VIOL R/O
PD21040600002833,West LA,0831,04/06/2021 12:00:00 AM,14:05:06,620D,DOM VIOL
PD21030500004774,77th Street,1268,03/05/2021 12:00:00 AM,21:46:32,242D,DOM VIOL
PD21042500000845,77th Street,1235,04/25/2021 12:00:00 AM,04:48:25,620D,DOM VIOL
PD21031700004807,77th Street,1235,03/17/2021 12:00:00 AM,20:32:54,242D,DOM VIOL
PD21051500003195,West Valley,1023,05/15/2021 12:00:00 AM,17:18:16,242DI,DOM VIOL INVESTIGATI
PD21013000003743,Southeast,1801,01/30/2021 12:00:00 AM,19:19:37,242D,DOM VIOL
PD21021300004183,Devonshire,1792,02/13/2021 12:00:00 AM,20:58:29,620D,DOM VIOL
PD21042900002018,Rampart,0245,04/29/2021 12:00:00 AM,11:53:57,620D,DOM VIOL
PD21012300001043,Hollenbeck,0416,01/23/2021 12:00:00 AM,08:24:35,620D,DOM VIOL
PD21052500002979,Foothill,1654,05/25/2021 12:00:00 AM,15:57:40,620D,DOM VIOL
PD21041700004766,77th Street,1257,04/17/2021 12:00:00 AM,22:33:12,242DX,BATTERY DOMESTIC VIO
PD21021400000588,Newton,1391,02/14/2021 12:00:00 AM,02:42:31,620D,DOM VIOL
PD21052000002791,Olympic,2093,05/20/2021 12:00:00 AM,14:21:22,242PD,POSS DOM VIOL
PD21022800003093,Mission,1905,02/28/2021 12:00:00 AM,16:30:24,242D,DOM VIOL
PD21010600002588,Southeast,1841,01/06/2021 12:00:00 AM,15:10:41,245D,DOM VIOL
PD21011800000176,Northeast,1126,01/18/2021 12:00:00 AM,01:01:40,620D,DOM VIOL
PD21052600004487,Wilshire,0775,05/26/2021 12:00:00 AM,20:53:51,242D,DOM VIOL
PD21040900004032,77th Street,1241,04/09/2021 12:00:00 AM,19:51:41,620D,DOM VIOL
PD21042300004079,Wilshire,0775,04/23/2021 12:00:00 AM,20:19:24,620D,DOM VIOL
PD21010200003773,Central,0135,01/02/2021 12:00:00 AM,22:00:09,242D,DOM VIOL
PD21011100004193,Southwest,0362,01/11/2021 12:00:00 AM,22:28:39,620D,DOM VIOL
PD21040600002229,Mission,1981,04/06/2021 12:00:00 AM,12:03:33,242DX,BATTERY DOMESTIC VIO
PD21042100002117,Devonshire,1794,04/21/2021 12:00:00 AM,13:21:05,242D,DOM VIOL
PD21042600000936,77th Street,1231,04/26/2021 12:00:00 AM,07:49:49,242D,DOM VIOL
PD21042200000387,Hollywood,0669,04/22/2021 12:00:00 AM,02:38:44,620D,DOM VIOL
PD21031500004107,Newton,1371,03/15/2021 12:00:00 AM,20:39:51,620DR,DOM VIOL R/O
PD21021100003273,Foothill,1654,02/11/2021 12:00:00 AM,16:02:12,620D,DOM VIOL
PD21021400001792,Olympic,2019,02/14/2021 12:00:00 AM,11:10:27,242DI,DOM VIOL INVESTIGATI
PD21042400003830,Devonshire,1762,04/24/2021 12:00:00 AM,20:30:51,242D,DOM VIOL
PD21041400004467,Southeast,1842,04/14/2021 12:00:00 AM,20:11:27,242D,DOM VIOL
PD21051100002910,Harbor,0555,05/11/2021 12:00:00 AM,14:47:08,620D,DOM VIOL
PD21022500000369,Topanga,2143,02/25/2021 12:00:00 AM,02:29:08,245DSN,DOM VIOL SUSP NOW
PD21011700002336,West Valley,1063,01/17/2021 12:00:00 AM,14:23:13,620D,DOM VIOL
PD21022800004495,Newton,1313,02/28/2021 12:00:00 AM,21:12:15,242DS,DOM VIOL SUSP
PD21022400001975,Southwest,0374,02/24/2021 12:00:00 AM,10:55:29,242D,DOM VIOL
PD21010900001557,Northeast,1112,01/09/2021 12:00:00 AM,11:11:21,620D,DOM VIOL
PD21060300002587,Southeast,1822,06/03/2021 12:00:00 AM,13:36:39,242DX,BATTERY DOMESTIC VIO
PD21011500003429,Southeast,1846,01/15/2021 12:00:00 AM,18:56:10,245DSN,DOM VIOL SUSP NOW
PD21032800001561,Mission,1972,03/28/2021 12:00:00 AM,10:38:40,620D,DOM VIOL
PD21042800005045,Central,0152,04/28/2021 12:00:00 AM,22:23:35,242D,DOM VIOL
PD21060200000165,77th Street,1268,06/02/2021 12:00:00 AM,01:47:45,245DI,DOM VIOL INVEST
PD21021600004947,Pacific,1406,02/16/2021 12:00:00 AM,21:22:25,620DR,DOM VIOL R/O
PD21030400002215,Northeast,1189,03/04/2021 12:00:00 AM,12:26:40,620D,DOM VIOL
PD21021700005525,Rampart,0269,02/17/2021 12:00:00 AM,22:47:11,242PD,POSS DOM VIOL
PD21051100004249,Foothill,1633,05/11/2021 12:00:00 AM,19:28:32,242D,DOM VIOL
PD21032700002129,Pacific,1406,03/27/2021 12:00:00 AM,14:03:02,620DR,DOM VIOL R/O
PD21033100002267,Southwest,0391,03/31/2021 12:00:00 AM,12:50:04,620D,DOM VIOL
PD21020900003903,West LA,0834,02/09/2021 12:00:00 AM,18:33:19,242D,DOM VIOL
PD21011000002505,Harbor,0551,01/10/2021 12:00:00 AM,16:08:39,242D,DOM VIOL
PD21051600002412,77th Street,1269,05/16/2021 12:00:00 AM,13:34:11,242D,DOM VIOL
PD21021400001356,Central,0119,02/14/2021 12:00:00 AM,08:52:24,620D,DOM VIOL
PD21050200000592,77th Street,1266,05/02/2021 12:00:00 AM,02:12:34,245AD,AMB DOM VIOL
PD21042100000143,Southeast,1801,04/21/2021 12:00:00 AM,00:47:23,620D,DOM VIOL
PD21041900004119,Hollenbeck,0488,04/19/2021 12:00:00 AM,21:15:28,242D,DOM VIOL
PD21051900000153,Newton,1377,05/19/2021 12:00:00 AM,00:49:59,620DR,DOM VIOL R/O
PD21052500004692,Rampart,0257,05/25/2021 12:00:00 AM,22:40:27,620D,DOM VIOL
PD21040900002435,Southwest,0375,04/09/2021 12:00:00 AM,13:49:32,620D,DOM VIOL
PD21010600004327,77th Street,1256,01/06/2021 12:00:00 AM,21:54:50,620D,DOM VIOL
